"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"RSAD2",3.9227203251135,7.28286877329715,64.9842919910522,5.06745563232477e-16,3.59637326226089e-12,26.2752259618932
"S",4.89181258020659,12.2244469241884,57.4994512012761,2.03930402412303e-15,7.23647032960059e-12,25.2320514258236
"N",3.82301201996733,12.7490622282113,54.7763147226978,3.54084387556308e-15,8.37645632829039e-12,24.7974270998572
"M",3.96801300236178,9.97402908611285,49.1727882883294,1.20725664037501e-14,2.14197509418536e-11,23.7914873184527
"IFIT3",1.89439061872462,10.3196704994577,46.8353626128561,2.09913232059058e-14,2.97950841584627e-11,23.321077409775
"IFIH1",1.65450908029305,10.443268676407,42.9714481528584,5.57817403350436e-14,6.59805018596341e-11,22.4667412994294
"IFI44",1.69564465125179,9.05570228890516,40.8595417439756,9.87947519278489e-14,1.00163764918849e-10,21.9543303209388
"MX2",2.20401071541679,8.71445446200941,38.5875243873141,1.88954902627261e-13,1.67626617993209e-10,21.3625334020311
"rep",4.41889079889299,8.79665761827141,36.8504041954387,3.18374316782744e-13,2.51055836245237e-10,20.8788636552982
"DDX58",1.01446186833208,10.9207530428932,36.3479054139377,3.71916193374832e-13,2.63948922438118e-10,20.7335288824442
"ORF6",3.71283789635911,5.65050746981429,35.2076811786523,5.33452891400098e-13,3.44174106387863e-10,20.3941953945646
"IFIT2",2.84846406097102,8.87522207981022,34.8466562856273,5.99428218683227e-13,3.51114662040016e-10,20.2838921883545
"ORF3a",6.40951048431121,8.92897848904909,34.4621481707461,6.79582965025198e-13,3.51114662040016e-10,20.1648502160309
"OAS2",2.1306244083224,9.86358523914069,34.4042448467039,6.92631431387941e-13,3.51114662040016e-10,20.1467818454738
"MX1",1.35360556383597,11.015844464072,33.7342017044177,8.65141878177377e-13,4.09327460628323e-10,19.9349455197995
"IFIT1",2.28409217813349,9.95316527572631,33.2947353714472,1.00337551930081e-12,4.45059753779865e-10,19.7931953534115
"PARP12",1.37549748677157,8.86369027908916,32.989716712109,1.11336317317137e-12,4.64796378823364e-10,19.693467812635
"TRIM22",2.61211902535484,7.43771627390895,32.7552399609233,1.2068194608299e-12,4.75822095194989e-10,19.6160422427963
"CMPK2",1.59974069821001,7.91327867004792,31.9005554746188,1.6268712904764e-12,6.07679239395315e-10,19.3280637194477
"PTPRF",-1.06138598591081,9.42108138458271,-31.3765396716857,1.96143785805181e-12,6.96016223929684e-10,19.14689424745
"SLC30A1",1.12293620985868,7.17549008449615,30.7833320681933,2.43297902585282e-12,8.22231054594164e-10,18.9374132222108
"IFI44L",1.62165474608053,8.33486007638187,30.2505206493545,2.96272806972636e-12,9.5574914140218e-10,18.7451553664803
"ITM2C",-1.15752934181086,5.87912610673477,-28.6881169098758,5.38673694976076e-12,1.6621596579327e-09,18.1577341664027
"AURKA",-1.05379472639088,7.61053603875829,-28.2530678033111,6.39848860203834e-12,1.89208640036109e-09,17.9875535701476
"RARRES1",-1.38535640104659,7.38903104199157,-27.6703664744442,8.0904897021444e-12,2.29672821664475e-09,17.754849388042
"OASL",1.73205908400776,9.05137814329336,27.4500672151048,8.85204361321442e-12,2.41626744319164e-09,17.6654118555371
"TP53",-1.25771874501725,7.59360657366124,-26.606743257999,1.25739721943149e-11,3.30509187640936e-09,17.3153601409873
"GBP4",1.46931030065502,8.93477520308045,26.3053922594703,1.42916097493168e-11,3.6224126568179e-09,17.1872294806465
"KIF20A",-1.52031261015151,8.01282861987865,-25.7591814134082,1.80912050540335e-11,4.19404996784071e-09,16.950741852865
"TAX1BP1",-1.02439622967058,8.52764987846704,-25.6964924070695,1.85931415214266e-11,4.19404996784071e-09,16.923242497946
"SLC39A10",-1.38232881657174,7.16111673549243,-25.6774008158152,1.87489931547353e-11,4.19404996784071e-09,16.9148528830488
"IFI16",1.01676293534329,9.82155332706051,25.6147159088182,1.9270773885299e-11,4.19404996784071e-09,16.8872577260555
"JAK1",-1.00292059443992,8.24797524188147,-25.4895026951689,2.03608823740093e-11,4.19404996784071e-09,16.8319109045808
"THBS1",1.2611833652254,10.6457749466204,24.8247758298028,2.73902562094305e-11,5.28207547526928e-09,16.5329531832575
"IFNGR1",-1.30563102572479,5.47407452963109,-24.7539610869142,2.82822133380629e-11,5.28207547526928e-09,16.5005846578863
"IRF7",2.00159604923745,4.86714217621658,23.4067506337485,5.29502898954627e-11,8.9473382711452e-09,15.8647233827793
"NT5C3A",1.01675377910785,9.98848178180856,23.3481295167377,5.44577226280515e-11,8.98805715096003e-09,15.8361570165036
"PET100",-1.13255238079273,5.09109851285542,-22.9079888504039,6.73821438295196e-11,1.06269127724022e-08,15.6191677041898
"SEMA7A",1.05555922170574,9.6368217650092,22.8070765660738,7.07929072791027e-11,1.08909399521221e-08,15.5687848031523
"HERC5",1.63783994117867,7.07919012634031,22.7150854990166,7.40659097385484e-11,1.09509533628016e-08,15.5226468414734
"RAD51AP1",-1.07044627925967,6.51601154286723,-22.6134926332988,7.78725924865416e-11,1.12788120178977e-08,15.471459472598
"MUC20",-1.69616074136497,4.56052696039084,-22.3064714558361,9.07274603738096e-11,1.26318429835392e-08,15.3152572220337
"TMBIM6",-2.89481109773189,3.77364144903846,-22.3054448632036,9.07741288094263e-11,1.26318429835392e-08,15.314731077082
"CYP24A1",-1.08352166050664,8.4590653385459,-21.9200699051432,1.10281856414929e-10,1.47673648108821e-08,15.1153742605039
"TPX2",-1.035502035604,10.3622987754464,-21.8588489384679,1.13779839754755e-10,1.49536207914722e-08,15.0833612177504
"CEP55",-1.43291610264325,8.36549955967766,-21.2294513052353,1.5762690887779e-10,2.03396031328304e-08,14.7486265472683
"NCOA4",-1.79849397061414,5.38802265984571,-20.863640946469,1.91320526076125e-10,2.42464602421831e-08,14.5492327245524
"CKS2",-1.06037092347268,7.43469229198276,-20.683484069981,2.10723569867589e-10,2.62369329008821e-08,14.449681576835
"KIF2C",-1.0112460905773,8.22512350864842,-20.4393684135724,2.40500841471517e-10,2.94281805504027e-08,14.3133318610855
"OAS1",1.766190015779,7.42997762802771,20.1723869201119,2.78386465091195e-10,3.34865888602069e-08,14.1622535213044
"PTGS2",-1.47677440566821,7.68669543599626,-19.5661379234325,3.90776035742797e-10,4.4021230566137e-08,13.811347581814
"TYMS",-1.09458280718095,6.32614717283785,-19.4484354527964,4.1785203543721e-10,4.63358733671543e-08,13.7419195952196
"IFI6",1.25091872160513,4.8244144264562,19.1733084683272,4.89424053027748e-10,5.34375769898143e-08,13.5779343482482
"MUC5AC",-1.00946236118836,8.05090358856617,-19.0011292707931,5.4091707602732e-10,5.72968431129237e-08,13.4740780588334
"QSOX1",-1.14521714517868,7.89365982377762,-18.8156334838725,6.03050615653257e-10,6.20268147723357e-08,13.3611077845225
"SPOCK2",-1.1951047539242,7.96541296981405,-18.7904978317629,6.12049393241257e-10,6.20530649119029e-08,13.3457123899477
"ORF8",2.94225725438049,6.43272082495032,18.5595293634632,7.0190468113668e-10,6.77156760800099e-08,13.203256820562
"APLP2",-1.45888030157715,6.91737002865093,-18.549619881087,7.06067356618393e-10,6.77156760800099e-08,13.1971046525342
"TTK",-1.01155627994413,8.17868985674541,-18.1269556033299,9.11162201668396e-10,8.17494134963196e-08,12.9315515048755
"HJURP",-1.05755176165248,6.94788725305076,-17.9059838845085,1.04343317738427e-09,8.54091258624836e-08,12.7902185932465
"PLAU",-1.1868331348742,8.56260859965816,-17.900445955818,1.04700492462112e-09,8.54091258624836e-08,12.7866540400177
"CSN3",-1.00324962514806,6.18252407065219,-17.8559482538644,1.07619031465334e-09,8.67923029897132e-08,12.7579722669217
"ORF9b",3.13611393870228,11.7663558072401,17.2345162132082,1.59079538979925e-09,1.14039140216215e-07,12.3497604960116
"CXCL5",-1.54064334119574,6.42920841563197,-17.1731657292972,1.65454576784707e-09,1.17423113144106e-07,12.3086663028304
"FTH1",1.51148040711768,8.37802054888034,17.0344153212955,1.80918135315299e-09,1.25880000620851e-07,12.2151870370048
"LYZ",-1.51148303537713,4.48674773860423,-16.8430582505203,2.04871986024909e-09,1.39805431232575e-07,12.0850194230536
"GJB1",-1.45820180752694,5.80952904101462,-16.6864446926546,2.27040944454381e-09,1.47180325087315e-07,11.9773927547683
"SAMD9L",1.26170400505959,7.61840145692915,16.6792351421531,2.28122245450255e-09,1.47180325087315e-07,11.9724142977539
"CFB",-1.12335607629074,9.31655808947031,-16.6196968898753,2.37268358107596e-09,1.51702120494559e-07,11.931219701491
"UBE2T",-1.13219641833422,6.14610884315043,-16.3043509687132,2.92831992817629e-09,1.82300759037431e-07,11.7105820392317
"TCN1",-1.1094578855556,5.45465018812572,-16.1797802475266,3.18541954772476e-09,1.93944176339209e-07,11.6222686586831
"IREB2",-1.10473836868247,6.19484141383286,-15.3195423115817,5.79248055925947e-09,3.10400763398769e-07,10.9937171114731
"MMP7",-1.14129970110035,8.4151408885879,-14.9790686186414,7.4021287610469e-09,3.86271381008455e-07,10.7354846295782
"WWP2",1.11911529192952,5.09674450130326,14.864511846969,8.04792128304951e-09,4.16905820042353e-07,10.6473344988501
"KLHL24",-1.65595160971311,3.21204745113491,-14.6895566763628,9.15499133714269e-09,4.57556151547195e-07,10.5114509600539
"TFCP2L1",-1.33466822997485,5.26852560641497,-14.155198965328,1.36910460475273e-08,6.47769025328673e-07,10.0867224467435
"ISG15",1.53058445199412,9.28654313142879,14.0071486041996,1.53431366111188e-08,6.95730633908162e-07,9.96637399782325
"NUSAP1",-1.49897686921238,5.01655646026828,-14.0031231977796,1.53909693565706e-08,6.95730633908162e-07,9.96308517197871
"PDZK1IP1",-2.34810314950979,4.16394977982858,-13.6184144728315,2.08015792251726e-08,8.73543241189646e-07,9.64462642851781
"FDCSP",-2.89313060660607,-Inf,-14.5491040478644,2.97501108187193e-08,1.16807894145893e-06,9.48427677943731
"TNC",1.01709954253967,5.63616236940434,13.2113132140186,2.88526562285254e-08,1.15037809693171e-06,9.29841376589508
"SPP1",-1.48282555374643,5.12295065109012,-13.1867398274013,2.94365272481401e-08,1.16710074793324e-06,9.27720252761703
"GRN",-1.15817950704391,4.61261235968967,-13.1721028498406,2.97903745813816e-08,1.16807894145893e-06,9.26455094449646
"VGLL1",-1.23697726979598,7.0917404706612,-12.6979293017091,4.41579656032225e-08,1.64078053343492e-06,8.84758445459206
"TMEM59",-2.34673407230371,3.43483567762888,-12.4945884609032,5.24851433100824e-08,1.86243531035827e-06,8.66442911326733
"NBR1",-1.00008061592729,5.0219968328514,-12.4427397500709,5.48703983555666e-08,1.93738913994754e-06,8.61729739595417
"ASF1B",-1.3681361205702,4.3737147762245,-11.9487266433818,8.44973172397163e-08,2.7634906011533e-06,8.15918857810549
"PTTG1",-1.16990118183549,4.61673049515822,-11.9004869985425,8.82085480318735e-08,2.85852084649409e-06,8.11355622432642
"CFAP100",-1.29212647179464,6.9095178865622,-11.4309121675989,1.35116138962902e-07,4.07336388654641e-06,7.66064557635449
"CHCHD2",-1.20598192752558,3.85089694452276,-11.1525783749035,1.75213429889298e-07,4.97793523648294e-06,7.38447091983079
"HMGCR",-1.18707169851514,4.58391602461871,-10.8962386472087,2.23684360635281e-07,6.08232914723597e-06,7.1248158067255
"RTL8A",-1.23971061755274,4.73797012281586,-10.6441740683208,2.8575591409463e-07,7.45591809679997e-06,6.86436106058186
"URB1-AS1",-1.02353187844899,4.39509244286904,-10.2049344614227,4.43029794806232e-07,1.08795240613835e-05,6.39783456993776
"TIMP2",-1.24510460870993,7.45471110251479,-10.1591815261189,4.64146565387968e-07,1.13587868088221e-05,6.34828356802724
"RNF128",-1.33670064454825,4.76580787219394,-10.0578483848824,5.14883641880916e-07,1.23868786658605e-05,6.23787994684599
"SDC4",-1.23025166682389,6.43248394674612,-9.904930655378,6.0311739715421e-07,1.40800137092218e-05,6.06953372925361
"LAPTM4A",-2.02051956419399,2.8256916957001,-9.15786842175152,1.34508017540612e-06,2.75101844520381e-05,5.21564027019755
"PLEKHB2",-1.08975158633891,4.20199965698181,-9.01618112157479,1.57515650104163e-06,3.09664423487325e-05,5.04752594576084
"SOX11",1.8578905752379,5.48729014035258,8.8734489144725,1.85034789522463e-06,3.49253165223648e-05,4.87609386707416
