"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"S",5.19707835159577,12.2244469241884,61.0876128566171,1.02425231960221e-15,5.1983764203953e-12,25.9246433230117
"RSAD2",3.57331943898701,7.28286877329715,59.1960717448587,1.46495037914479e-15,5.1983764203953e-12,25.6437510315862
"M",4.01476754189391,9.97402908611285,49.7521843418612,1.05681855790966e-14,2.50008043516161e-11,24.0096859537276
"N",3.1389475283191,12.7490622282113,44.9750031679761,3.32577263975118e-14,5.25208184985574e-11,23.0037920282534
"IFIT3",1.80212446955632,10.3196704994577,44.5542498843214,3.70021266017736e-14,5.25208184985574e-11,22.9082532229409
"PTPRF",-1.41562075316139,9.42108138458271,-41.8483768499302,7.53289613947631e-14,8.91016065031056e-11,22.2638681378786
"IFIH1",1.50984256445068,10.443268676407,39.2141223339672,1.57430313706366e-13,1.5961184805344e-10,21.5822591734542
"MX2",2.13976202053078,8.71445446200941,37.4626668430991,2.64179710014037e-13,2.24496341858858e-10,21.0960485048571
"ITM2C",-1.48948705653528,5.87912610673477,-36.9153310159571,3.1209137499031e-13,2.24496341858858e-10,20.9382569736508
"IFI44",1.53014017614859,9.05570228890516,36.8714201736324,3.16325689529178e-13,2.24496341858858e-10,20.9254725142766
"rep",4.23675741313523,8.79665761827141,35.3315413884332,5.12672111209094e-13,3.30766724840995e-10,20.4649313876489
"RARRES1",-1.73225057000585,7.38903104199157,-34.5990447378133,6.49783605860882e-13,3.8429285423289e-10,20.2371856408238
"ORF3a",6.37474169984587,8.92897848904909,34.2752061250323,7.22700511368411e-13,3.85312411812837e-10,20.1346339604395
"ORF6",3.59841570600037,5.65050746981429,34.1226513146057,7.6009211855428e-13,3.85312411812837e-10,20.0859188798782
"MYO19",-1.42185534413687,7.93940707358341,-33.6274603422555,8.96700814952761e-13,4.24259045581316e-10,19.9259724894009
"SLC30A1",1.21438039705483,7.17549008449615,33.2901145153631,1.00495083914626e-12,4.45758506588814e-10,19.8153895535614
"APP",-1.63787091996255,9.00607123581446,-33.0987875023941,1.07259693748487e-12,4.47777674431184e-10,19.7520773861921
"PARP12",1.36470718314842,8.86369027908916,32.7309237566955,1.21698875981931e-12,4.56741618607679e-10,19.6291178438761
"OAS2",2.01663508477453,9.86358523914069,32.5636029288075,1.28954083336231e-12,4.56741618607679e-10,19.5726478658747
"TRIM22",2.59272789428436,7.43771627390895,32.5120806159003,1.31281787624011e-12,4.56741618607679e-10,19.5551902706213
"IFIT2",2.65080728277252,8.87522207981022,32.4286240882824,1.35149696924916e-12,4.56741618607679e-10,19.526842834868
"CMPK2",1.58747060682151,7.91327867004792,31.6558766141915,1.77465540765979e-12,5.47596931659196e-10,19.2602193637413
"TAX1BP1",-1.24255350409739,8.52764987846704,-31.1688639206373,2.11413079358122e-12,6.03406754769711e-10,19.0882383672376
"IFIT1",2.1368900812197,9.95316527572631,31.1490011012691,2.1293980814834e-12,6.03406754769711e-10,19.0811577563107
"AURKA",-1.15796303819147,7.61053603875829,-31.0459024062495,2.21059259180111e-12,6.03406754769711e-10,19.0443210216978
"TP53",-1.44560881333656,7.59360657366124,-30.5815133155378,2.62043136354652e-12,6.79363914459333e-10,18.8766183057822
"CST6",-1.67964555998268,6.45268208996348,-30.4697543217951,2.73094210338056e-12,6.79363914459333e-10,18.8358188760027
"JAK1",-1.19713644714625,8.24797524188147,-30.4255519980225,2.7760396673694e-12,6.79363914459333e-10,18.8196343641591
"CLSTN1",-1.15584568067547,7.72582453534003,-30.032652791784,3.2143989887652e-12,7.60419654108887e-10,18.6745733893868
